at,strategy,pair,direction,entry,stop_loss,tp1,rr,gate,detail,cost_share_pct
2026-08-30T17:20:54+00:00,SMC,SOLUSDT,LONG,102.05,100.65878500000001,108.2643,5.471853739357379,предел издержек,вход слишком дорог: комиссии съедят 5.1% риска при пределе 5.0% — стоп стоит слишком тесно,5.131
2026-08-30T17:25:48+00:00,SMC,SOLUSDT,LONG,102.05,100.65878500000001,108.2643,5.471853739357379,предел издержек,вход слишком дорог: комиссии съедят 5.1% риска при пределе 5.0% — стоп стоит слишком тесно,5.131
2026-08-30T17:31:10+00:00,SMC,SOLUSDT,LONG,102.05,100.65878500000001,108.2643,5.471853739357379,предел издержек,вход слишком дорог: комиссии съедят 5.1% риска при пределе 5.0% — стоп стоит слишком тесно,5.131
2026-08-30T17:35:43+00:00,SMC,SOLUSDT,LONG,102.05,100.65878500000001,108.2643,5.471853739357379,предел издержек,вход слишком дорог: комиссии съедят 5.1% риска при пределе 5.0% — стоп стоит слишком тесно,5.131
2026-08-30T17:40:44+00:00,SMC,SOLUSDT,LONG,102.05,100.65878500000001,108.2643,5.471853739357379,предел издержек,вход слишком дорог: комиссии съедят 5.1% риска при пределе 5.0% — стоп стоит слишком тесно,5.131
2026-08-30T17:45:49+00:00,SMC,SOLUSDT,LONG,102.05,100.65878500000001,108.2643,5.471853739357379,предел издержек,вход слишком дорог: комиссии съедят 5.1% риска при пределе 5.0% — стоп стоит слишком тесно,5.131
2026-08-30T17:50:45+00:00,SMC,SOLUSDT,LONG,102.05,100.65878500000001,108.2643,5.471853739357379,предел издержек,вход слишком дорог: комиссии съедят 5.1% риска при пределе 5.0% — стоп стоит слишком тесно,5.131
2026-08-30T17:55:51+00:00,SMC,SOLUSDT,LONG,102.05,100.65878500000001,108.2643,5.471853739357379,предел издержек,вход слишком дорог: комиссии съедят 5.1% риска при пределе 5.0% — стоп стоит слишком тесно,5.131
2026-08-30T18:00:29+00:00,FIBO,ETHUSDT,LONG,2492.42,2459.49656,2554.7749999999996,1.8939393939393792,предел издержек,вход слишком дорог: комиссии съедят 5.3% риска при пределе 5.0% — стоп стоит слишком тесно,5.283
2026-08-30T18:00:53+00:00,SMC,SOLUSDT,LONG,103.58,102.75135999999999,104.67,5.221175661324546,предел издержек,вход слишком дорог: комиссии съедят 8.3% риска при пределе 5.0% — стоп стоит слишком тесно,8.342
2026-08-30T18:05:26+00:00,FIBO,ETHUSDT,LONG,2492.42,2459.49656,2554.7749999999996,1.8939393939393792,предел издержек,вход слишком дорог: комиссии съедят 5.3% риска при пределе 5.0% — стоп стоит слишком тесно,5.283
2026-08-30T18:05:45+00:00,SMC,SOLUSDT,LONG,103.58,102.75135999999999,104.67,5.221175661324546,предел издержек,вход слишком дорог: комиссии съедят 8.3% риска при пределе 5.0% — стоп стоит слишком тесно,8.342
2026-08-30T18:10:48+00:00,SMC,SOLUSDT,LONG,103.58,102.75135999999999,104.67,5.221175661324546,предел издержек,вход слишком дорог: комиссии съедят 8.3% риска при пределе 5.0% — стоп стоит слишком тесно,8.342
2026-08-30T18:15:48+00:00,SMC,SOLUSDT,LONG,103.58,102.75135999999999,104.67,5.221175661324546,предел издержек,вход слишком дорог: комиссии съедят 8.3% риска при пределе 5.0% — стоп стоит слишком тесно,8.342
2026-08-30T18:20:44+00:00,SMC,SOLUSDT,LONG,103.58,102.75135999999999,104.67,5.221175661324546,предел издержек,вход слишком дорог: комиссии съедят 8.3% риска при пределе 5.0% — стоп стоит слишком тесно,8.342
2026-08-30T18:25:27+00:00,FIBO,ETHUSDT,LONG,2492.42,2459.49656,2554.7749999999996,1.8939393939393792,предел издержек,вход слишком дорог: комиссии съедят 5.3% риска при пределе 5.0% — стоп стоит слишком тесно,5.283
2026-08-30T18:25:50+00:00,SMC,SOLUSDT,LONG,103.58,102.75135999999999,104.67,5.221175661324546,предел издержек,вход слишком дорог: комиссии съедят 8.3% риска при пределе 5.0% — стоп стоит слишком тесно,8.342
2026-08-30T18:31:02+00:00,FIBO,ETHUSDT,LONG,2492.42,2459.49656,2554.7749999999996,1.8939393939393792,предел издержек,вход слишком дорог: комиссии съедят 5.3% риска при пределе 5.0% — стоп стоит слишком тесно,5.283
2026-08-30T18:31:22+00:00,SMC,SOLUSDT,LONG,103.58,102.75135999999999,104.67,5.221175661324546,предел издержек,вход слишком дорог: комиссии съедят 8.3% риска при пределе 5.0% — стоп стоит слишком тесно,8.342
2026-08-30T18:35:26+00:00,FIBO,ETHUSDT,LONG,2492.42,2459.49656,2554.7749999999996,1.8939393939393792,предел издержек,вход слишком дорог: комиссии съедят 5.3% риска при пределе 5.0% — стоп стоит слишком тесно,5.283
2026-08-30T18:35:47+00:00,SMC,SOLUSDT,LONG,103.58,102.75135999999999,104.67,5.221175661324546,предел издержек,вход слишком дорог: комиссии съедят 8.3% риска при пределе 5.0% — стоп стоит слишком тесно,8.342
2026-08-30T18:40:29+00:00,FIBO,ETHUSDT,LONG,2492.42,2459.49656,2554.7749999999996,1.8939393939393792,предел издержек,вход слишком дорог: комиссии съедят 5.3% риска при пределе 5.0% — стоп стоит слишком тесно,5.283
2026-08-30T18:40:47+00:00,SMC,SOLUSDT,LONG,103.58,102.75135999999999,104.67,5.221175661324546,предел издержек,вход слишком дорог: комиссии съедят 8.3% риска при пределе 5.0% — стоп стоит слишком тесно,8.342
2026-08-30T18:45:28+00:00,FIBO,ETHUSDT,LONG,2492.42,2459.49656,2554.7749999999996,1.8939393939393792,предел издержек,вход слишком дорог: комиссии съедят 5.3% риска при пределе 5.0% — стоп стоит слишком тесно,5.283
2026-08-30T18:45:46+00:00,SMC,SOLUSDT,LONG,103.58,102.75135999999999,104.67,5.221175661324546,предел издержек,вход слишком дорог: комиссии съедят 8.3% риска при пределе 5.0% — стоп стоит слишком тесно,8.342
2026-08-30T18:50:25+00:00,FIBO,ETHUSDT,LONG,2492.42,2459.49656,2554.7749999999996,1.8939393939393792,предел издержек,вход слишком дорог: комиссии съедят 5.3% риска при пределе 5.0% — стоп стоит слишком тесно,5.283
2026-08-30T18:50:44+00:00,SMC,SOLUSDT,LONG,103.58,102.75135999999999,104.67,5.221175661324546,предел издержек,вход слишком дорог: комиссии съедят 8.3% риска при пределе 5.0% — стоп стоит слишком тесно,8.342
2026-08-30T18:55:25+00:00,FIBO,ETHUSDT,LONG,2492.42,2459.49656,2554.7749999999996,1.8939393939393792,предел издержек,вход слишком дорог: комиссии съедят 5.3% риска при пределе 5.0% — стоп стоит слишком тесно,5.283
2026-08-30T18:55:45+00:00,SMC,SOLUSDT,LONG,103.58,102.75135999999999,104.67,5.221175661324546,предел издержек,вход слишком дорог: комиссии съедят 8.3% риска при пределе 5.0% — стоп стоит слишком тесно,8.342
2026-08-30T19:00:26+00:00,FIBO,ETHUSDT,LONG,2492.42,2459.49656,2554.7749999999996,1.8939393939393792,предел издержек,вход слишком дорог: комиссии съедят 5.3% риска при пределе 5.0% — стоп стоит слишком тесно,5.283
2026-08-30T19:00:44+00:00,SMC,SOLUSDT,LONG,103.58,102.75135999999999,104.67,5.221175661324546,предел издержек,вход слишком дорог: комиссии съедят 8.3% риска при пределе 5.0% — стоп стоит слишком тесно,8.342
2026-08-30T19:05:25+00:00,FIBO,ETHUSDT,LONG,2492.42,2459.49656,2554.7749999999996,1.8939393939393792,предел издержек,вход слишком дорог: комиссии съедят 5.3% риска при пределе 5.0% — стоп стоит слишком тесно,5.283
2026-08-30T19:05:47+00:00,SMC,SOLUSDT,LONG,103.58,102.75135999999999,104.67,5.221175661324546,предел издержек,вход слишком дорог: комиссии съедят 8.3% риска при пределе 5.0% — стоп стоит слишком тесно,8.342
2026-08-30T19:10:27+00:00,FIBO,ETHUSDT,LONG,2492.42,2459.49656,2554.7749999999996,1.8939393939393792,предел издержек,вход слишком дорог: комиссии съедят 5.3% риска при пределе 5.0% — стоп стоит слишком тесно,5.283
2026-08-30T19:10:46+00:00,SMC,SOLUSDT,LONG,103.58,102.75135999999999,104.67,5.221175661324546,предел издержек,вход слишком дорог: комиссии съедят 8.3% риска при пределе 5.0% — стоп стоит слишком тесно,8.342
2026-08-30T19:15:28+00:00,FIBO,ETHUSDT,LONG,2492.42,2459.49656,2554.7749999999996,1.8939393939393792,предел издержек,вход слишком дорог: комиссии съедят 5.3% риска при пределе 5.0% — стоп стоит слишком тесно,5.283
2026-08-30T19:15:46+00:00,SMC,SOLUSDT,LONG,103.58,102.75135999999999,104.67,5.221175661324546,предел издержек,вход слишком дорог: комиссии съедят 8.3% риска при пределе 5.0% — стоп стоит слишком тесно,8.342
2026-08-30T19:20:25+00:00,FIBO,ETHUSDT,LONG,2492.42,2459.49656,2554.7749999999996,1.8939393939393792,предел издержек,вход слишком дорог: комиссии съедят 5.3% риска при пределе 5.0% — стоп стоит слишком тесно,5.283
2026-08-30T19:20:44+00:00,SMC,SOLUSDT,LONG,103.58,102.75135999999999,104.67,5.221175661324546,предел издержек,вход слишком дорог: комиссии съедят 8.3% риска при пределе 5.0% — стоп стоит слишком тесно,8.342
